Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee  -  Other,Unit,Additional Fee ,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Fire,Fire,Annual Permits,,"permit, aircraft, refuel",Annual Permit - aircraft refueling facility,275.04,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, aircraft, repair, hangar",Annual Permit - aircraft repair hangar,275.04,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, ambulatory, convalescent",Annual Permit - ambulatory convalescent care,415.23,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, production",Annual Permit - approved  production facilities,275.04,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, candles, flame",Annual Permit - candles open flame annual ,168.02,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, combustible, dust",Annual Permit - combustible dust products,275.04,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, combustible, fibers",Annual Permit - combustible fibers,275.04,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, combustible",Annual Permit - combustible materials,275.04,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, convalescent ",Annual Permit - convalescent hospital,613.22,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, daycare",Annual Permit - daycare under 50 occupants,168.02,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, daycare",Annual Permit - daycare over 50 occupants,315.71,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, explosives",Annual Permit - explosives,275.04,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, high, combustibles, storage",Annual Permit - high piled combustible storage,275.04,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, hospital",Annual Permit - hospital,811.2,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, hot, open, flame",Annual Permit - hot work open flame,275.04,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, industrial, ovens",Annual Permit - industrial ovens,275.04,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, laboratory",Annual Permit - laboratory,275.04,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, LPG, annual",Annual Permit - LPG-annual,275.04,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, preschool",Annual Permit - preschool,217.25,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, public, school",Annual Permit - public school,613.22,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, private, school",Annual Permit - private school,613.22,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, public, assembly <300","Annual Permit - public assembly, <300 occupants",315.71,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, public, assembly >300","Annual Permit - public assembly, 300+ occupants",415.23,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, repair, garage",Annual Permit - repair garage,295.37,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, residential, care",Annual Permit - residential care,415.23,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, spraying, dipping",Annual Permit - spraying/dipping,275.04,,,,,,,,,
Fire,Fire,Annual Permits,,"permit, vehicle, building, auto",Annual Permit - vehicle in building,188.35,,,,,,,,,
Fire,Fire,Annual Permits,,"uniform, fire, code, permits, other","Miscellaneous - uniform fire code permits, others",275.04,,,,,,,,,
Fire,Fire,Annual Inspections,,"permit, high, rise, inspection, fire","Annual Permit - high rise fire inspections, 55-75 ft",1575.32,,,,,,,,,
Fire,Fire,Annual Inspections,,"permit, high, rise, inspection, fire","Annual Permit - high rise fire inspections, >75 ft",2086.87,,,,,,,,,
Fire,Fire,Annual Inspections,,"commercial, inspection, suite, unit","Annual commercial inspections: individual suite or unit, 0-2,000 sf",95.25,,,,,,,,,
Fire,Fire,Annual Inspections,,"commercial, inspection, suite, unit","Annual commercial inspections: individual suite or unit, 2,001-5,000 sf",124.14,,,,,,,,,
Fire,Fire,Annual Inspections,,"commercial, inspection, suite, unit","Annual commercial inspections: individual suite or unit, 5,001-10,000 sf",153.04,,,,,,,,,
Fire,Fire,Annual Inspections,,"commercial, inspection, suite, unit","Annual commercial inspections: individual suite or unit, >10,000 sf",210.83,,,,,,,,,
Fire,Fire,Annual Inspections,,"commercial, inspection, common area",Annual commercial inspections - common area: base 1st story (includes single story buildings),67.42,,,,,,,,,
Fire,Fire,Annual Inspections,,"commercial, inspection, common","Annual commercial inspections - common area: 0-2,000 sf per floor",67.42,,,,,,,,,
Fire,Fire,Annual Inspections,,"commercial, inspection, common","Annual commercial inspections - common area: 2,001-5,000 sf per floor",77.05,,,,,,,,,
Fire,Fire,Annual Inspections,,"commercial, inspection, common","Annual commercial inspections - common area: 5,001-10,000 s.f per floor",85.62,,,,,,,,,
Fire,Fire,Annual Inspections,,"commercial, inspection, common","Annual commercial inspections - common area: >10,001 sq ft",95.25,,,,,,,,,
Fire,Fire,Annual Inspections,,"residential, inspection, family, multi",Annual multi-family residential  inspections: 3-15 units,150.9,,,,,,,,,
Fire,Fire,Annual Inspections,,"residential, inspection, family, multi",Annual multi-family residential  inspections: 16-49 units,206.55,,,,,,,,,
Fire,Fire,Annual Inspections,,"residential, inspection, family, multi",Annual multi-family residential  inspections: 50-99 units,263.27,,,,,,,,,
Fire,Fire,Annual Inspections,,"residential, inspection, family, multi",Annual multi-family residential  inspections: 100 units and over,375.64,,,,,,,,,
Fire,Fire,Annual Inspections,,"inspection, other",Other inspections - annual not otherwise listed ,275.04,,,,,,,,,
Fire,Fire,CUPA,,"hazardous, materials, inspection, CRTK",CRTK hazardous materials inspection - category 1,276.11,,,,,,,,,
Fire,Fire,CUPA,,"hazardous, materials, inspection, CRTK",CRTK hazardous materials inspection - category 2,552.22,,,,,,,,,
Fire,Fire,CUPA,,"hazardous, materials, inspection, CRTK",CRTK hazardous materials inspection - category 3,966.38,,,,,,,,,
Fire,Fire,CUPA,,"hazardous, materials, inspection, CRTK",CRTK hazardous materials inspection - category 4,1380.55,,,,,,,,,
Fire,Fire,CUPA,,"CUPA, CalARP, ARP, review",CUPA - annual CalARP Review: level 1 - per facility,828.33,,,,,,,,,
Fire,Fire,CUPA,,"CUPA, CalARP, ARP, review",CUPA - annual CalARP Review: level 2 - per facility,1380.55,,,,,,,,,
Fire,Fire,CUPA,,"CUPA, CalARP, ARP, review",CUPA - annual CalARP Review: level 3 - per facility,2761.09,,,,,,,,,
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Alternate, Methods, Construction, Energy, Compliance, Comply, Title 24","Engineering Report Review: Alternate Methods of Construction, Energy Compliance - Title 24, Part 6 C.E.C.",371.36,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Fire,Fire,CUPA,,"CUPA, hazardous, waste, generation, silver",CUPA - county charges: hazardous waste generation-silver waste only ,295,,,,,,,"Fee is not subject to the City's established annual administrative revision and increase.  
Fee is set by and passed through to Los Angeles County.",,
Fire,Fire,CUPA,,"CUPA, hazardous, waste, generation","CUPA - county charges: hazardous waste generation, 1-5 Employees ",590,,,,,,,"Fee is not subject to the City's established annual administrative revision and increase.  
Fee is set by and passed through to Los Angeles County.",,
Fire,Fire,CUPA,,"CUPA, hazardous, waste, generation","CUPA - county charges: hazardous waste generation, 6-19 Employees ",828,,,,,,,"Fee is not subject to the City's established annual administrative revision and increase.  
Fee is set by and passed through to Los Angeles County.",,
Fire,Fire,CUPA,,"CUPA, hazardous, waste, generation","CUPA - county charges: hazardous waste generation, 20-100 Employees ",1131,,,,,,,"Fee is not subject to the City's established annual administrative revision and increase.  
Fee is set by and passed through to Los Angeles County.",,
Fire,Fire,CUPA,,"CUPA, hazardous, waste, generation","CUPA - county charges: hazardous waste generation, 101-500 Employees ",1644,,,,,,,"Fee is not subject to the City's established annual administrative revision and increase.  
Fee is set by and passed through to Los Angeles County.",,
Fire,Fire,CUPA,,"CUPA, hazardous, waste, generation","CUPA - county charges: hazardous waste generation, 501 Employees and over ",2815,,,,,,,"Fee is not subject to the City's established annual administrative revision and increase.  
Fee is set by and passed through to Los Angeles County.",,
Fire,Fire,CUPA,,"CUPA, hazardous, waste, generation, tiered, exempt, permit",CUPA - county charges: hazardous waste generation/tiered permit-conditionally exempt ,139,,,,,,,"Fee is not subject to the City's established annual administrative revision and increase.  
Fee is set by and passed through to Los Angeles County.",,
Fire,Fire,CUPA,,"CUPA, hazardous, waste, generation, tiered, permit",CUPA - county charges: hazardous waste generation/tiered permit-permit by rule ,1308,,,,,,,"Fee is not subject to the City's established annual administrative revision and increase.
  Fee is passed through to Los Angeles County.",,
Fire,Fire,CUPA,,"CUPA, hazardous, waste, generation, tiered, permit, conditional",CUPA - county charges: hazardous waste generation/tiered permit-conditionally authorized ,916,,,,,,,"Fee is not subject to the City's established annual administrative revision and increase.
  Fee is passed through to Los Angeles County.",,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Beach Volleyball Clubs, beach sports clubs, beach volleyball teams, beach volleyball practice, beach soccer practice, beach volleyball matches, beach soccer matches, High School Sand Volleyball, beach volleyball practice courts, beach volleyball matches, beach volleyball, beach soccer, court reservations, court rentals, beach courts, beach sports, outdoor sports, volleyball, beach court permits","Sports Facilities Rental - Beach Volleyball & Soccer Courts, Commercial-Seasonal Use",15,,per hour,,,,,Staffing fees shall be subject to the annual administrative increase per resolution. This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facility-rental-beach-volleyball-fee-notes"">Sports facilities rental fee notesA</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Electrical, Plan, Review, Over the Counter, Counter, OTC, Standard","Electrical Plan Review, Over The Counter PC: Standard-up to two reviews",445.86,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Final subdivision map for condominium purposes,Final Subdivision Map,1395,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Fire,Fire,CUPA,,"CUPA, fee",CUPA - city administrative fee - per CUPA Facility,529.74,,,,,,,,,
Fire,Fire,CUPA,,"aboveground, tank",Aboveground Tank (AST < 10K gallon),552.22,,,,,,,,,
Fire,Fire,CUPA,,"aboveground, tank",Aboveground Tank (AST > 10K gallon),1104.44,,,,,,,,,
Fire,Fire,CUPA,,"underground, tank, permit, base",Underground Tank Permit (Base & 1st Tank),1960.59,,,,,,,,,
Fire,Fire,CUPA,,"underground, tank, permit ",Underground Tank Permit (ea add'l Tank),391.69,,,,,,,,,
Fire,Fire,CUPA,,"underground, tank, permit, exempt",Underground Tank Permit (Exempt),391.69,,,,,,,,,
Fire,Fire,Miscellaneous Fees,,"compliance, reinspection, resubmittal, retest","Miscellaneous - compliance reinspections, resubmittals or retesting",275.04,,,,,,,,,
Fire,Fire,Miscellaneous Fees,,"inspection, services",Miscellaneous - inspection services,275.04,,,,,,,,,
Fire,Fire,Suppression and Rescue Fee,,"nursing, facility, patient, care, fee",Skilled nursing facility patient assessment and care fee ,902.17,,,,,,,,,
Fire,Fire,Suppression and Rescue Fee,,"hazardous, materials, vehicle, accident, fee ",Hazardous materials vehicle accident discharge fee,902.17,,,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Specialty classes,"Lifeguard training, Lifeguard certification class, lifeguard class, lifeguard","Community Aquatics
 - Specialty Classes
 - Lifeguard Training
 - Non-Residents",135,,,,,,Non-Residents,"A $35.00 material fee will be assessed. 
",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Cultural Affairs,Aquatics/Swimming,Permits,"Theater rentals, theatre rentals, rehearsal space, filming, Miles, Miles Playhouse","Miles Memorial Playhouse - Rental,  Single Evening Performance, Non-Profit Organization",300,,,,,A deposit of 50% of rental is due 12 weeks prior to date of use.,Non-Profit Organization,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a target=""_blank"" href=""http://www.smgov.net/departments/ccs/milesplayhouse/"">http://www.smgov.net/departments/ccs/milesplayhouse/</a>",
